skill_raw;skill_normalized;domain;field;type_of_skill
.NET;.NET;Computer Science, Software Engineering;IT;Hard
.NET CLR;.NET;Computer Science, Software Engineering;IT;Hard
.NET Compact Framework;.NET;Computer Science, Software Engineering;IT;Hard
.NET Framework;.NET;Computer Science, Software Engineering;IT;Hard
.NET Remoting;.NET;Computer Science, Software Engineering;IT;Hard
.Net Core;.NET;Computer Science, Software Engineering;IT;Hard
1-Wire;1-Wire;Electronics, Electrical Wiring;Electronics;Hard
1wire;1-Wire;Electronics, Electrical Wiring;Electronics;Hard
one wire;1-Wire;Electronics, Electrical Wiring;Electronics;Hard
one-wire;1-Wire;Electronics, Electrical Wiring;Electronics;Hard
Account Management;Account Management;Account Management;General;Hard, Soft
Key Account Management;Account Management;Account Management;General;Hard, Soft
Key-Account-Management;Account Management;Account Management;General;Hard, Soft
Senior Account;Account Management;Account Management;General;Hard, Soft
Accountancy;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Accounting;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Accounting nician;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Administrative Assistant;Administrative Assistance;Operations;General;Hard
Administrative help 20%;Administrative Assistance;Operations;General;Hard
Balance sheet analysis;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Big 4;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Estimated financial statements;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Financial statements;Accounting;Accounting, Finance, Operations;General, Legal;Hard
IFRS U.S. GAAP Swiss;Accounting;Accounting, Finance, Operations;General, Legal;Hard
International Tax;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Payroll;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Active Directory;Active Directory;Software Engineering, Operations;IT;Hard
Active Directory Experience;Active Directory;Software Engineering, Operations;IT;Hard
Azure Active Directory;Active Directory;Software Engineering, Operations;IT;Hard
Adobe Creative Suite;Adobe Creative Suite;Design, Art, Modeling;Design;Hard
Illustrator;Adobe Illustrator;Design, Art, Modeling;Design;Hard
Adobe Illustrator;Adobe Illustrator;Design, Art, Modeling;Design;Hard
Indesign;Adobe InDesign;Design, Art, Modeling;Design;Hard
Adobe Lightroom;Adobe Lightroom;Design, Art, Modeling;Design;Hard
Lightroom;Adobe Lightroom;Design, Art, Modeling;Design;Hard
Lightroom Mobile;Adobe Lightroom;Design, Art, Modeling;Design;Hard
Omnitures;Adobe Omniture;Data Analytics;IT, Statistics;Hard
Mapp Intelligence;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Mapp;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Omniture;Adobe Omniture;Data Analytics;IT, Statistics;Hard
Photoshop;Adobe Photoshop;Design, Art, Modeling;Design;Hard
Adobe Photoshop;Adobe Photoshop;Design, Art, Modeling;Design;Hard
Advertising;Advertising;Marketing;Marketing;Hard, Soft
Ad Trafficker;Advertising;Marketing;Marketing;Hard, Soft
Advert;Advertising;Marketing;Marketing;Hard, Soft
Associate Consultant SEA;Advertising;Marketing;Marketing;Hard, Soft
Display Advertising;Advertising;Marketing;Marketing;Hard, Soft
Display-Werbung;Advertising;Marketing;Marketing;Hard, Soft
Online Advertising;Advertising;Marketing;Marketing;Hard, Soft
PPC;Advertising;Marketing;Marketing;Hard, Soft
SEA;Advertising;Marketing;Marketing;Hard, Soft
Search Advertising;Advertising;Marketing;Marketing;Hard, Soft
promotion;Advertising;Marketing;Marketing;Hard, Soft
Affiliate Marketing;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Affiliate;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Affiliate Management;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Affiliate Networks;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Affiliate Relations;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Affiliate Window;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Affiliates;Affiliate Marketing;Marketing;Marketing;Hard, Soft
CJ Affiliate;Affiliate Marketing;Marketing;Marketing;Hard, Soft
EBay Affiliate Network;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Google Affiliate Network;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Post Affiliate Pro;Affiliate Marketing;Marketing;Marketing;Hard, Soft
Artificial Intelligence;AI;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Algorithm Analysis;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Algorithm Design;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Algorithm Development;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Algorithm Optimization;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Approximation Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Compression Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Distributed Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Evolutionary Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Genetic Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Optimization Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Parallel Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Scheduling Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Search Algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
Android;Android Development;Software Engineering, Mobile Development;IT;Hard
AIR for Android Extension;Android Development;Software Engineering, Mobile Development;IT;Hard
Android Development;Android Development;Software Engineering, Mobile Development;IT;Hard
Android Games;Android Development;Software Engineering, Mobile Development;IT;Hard
Android SDK;Android Development;Software Engineering, Mobile Development;IT;Hard
Android Studio;Android Development;Software Engineering, Mobile Development;IT;Hard
Android Support;Android Development;Software Engineering, Mobile Development;IT;Hard
Android Testing;Android Development;Software Engineering, Mobile Development;IT;Hard
